Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,ToStopID,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour
Wednesday,NT1-In-2001-NT260007454-2024-08-21T11:34:00-2024-08-21,11:35:00,1085.0,260007454,260007423,2024-08-21 11:34:00,2024-08-21 11:34:00,2024-08-21 11:23:53,2024-08-21 11:34:43,1:1_1_2147483284,10.833333333333334,0.7166666666666667,-10.116666666666667,11,11
Wednesday,NT1-In-2001-NT260007454-2024-08-21T11:34:00-2024-08-21,11:35:00,1085.0,260007423,260007343,2024-08-21 11:34:00,2024-08-21 11:35:00,2024-08-21 11:34:43,2024-08-21 11:35:52,1:1_2_2147483283,1.15,0.8666666666666667,0.7166666666666667,11,11
Wednesday,NT1-In-2001-NT260007454-2024-08-21T13:54:00-2024-08-21,13:55:00,1113.0,260007454,260007423,2024-08-21 13:54:00,2024-08-21 13:54:00,2024-08-21 13:50:19,2024-08-21 13:54:20,1:1_1_2147483284,4.016666666666667,0.3333333333333333,-3.683333333333333,13,13
Wednesday,NT1-In-2001-NT260007454-2024-08-21T13:54:00-2024-08-21,13:55:00,1113.0,260007423,260007343,2024-08-21 13:54:00,2024-08-21 13:55:00,2024-08-21 13:54:20,2024-08-21 13:54:50,1:1_2_2147483283,0.5,-0.1666666666666666,0.3333333333333333,13,13
Thursday,NT1-In-2001-NT260007454-2024-08-22T11:34:00-2024-08-22,11:35:00,1085.0,260007454,260007423,2024-08-22 11:34:00,2024-08-22 11:34:00,2024-08-22 11:26:06,2024-08-22 11:34:26,1:1_1_2147483284,8.333333333333334,0.4333333333333333,-7.9,11,11
Thursday,NT1-In-2001-NT260007454-2024-08-22T11:34:00-2024-08-22,11:35:00,1085.0,260007423,260007343,2024-08-22 11:34:00,2024-08-22 11:35:00,2024-08-22 11:34:26,2024-08-22 11:35:13,1:1_2_2147483283,0.7833333333333333,0.2166666666666666,0.4333333333333333,11,11
Thursday,NT1-In-2001-NT260007454-2024-08-22T13:54:00-2024-08-22,13:55:00,1113.0,260007454,260007423,2024-08-22 13:54:00,2024-08-22 13:54:00,2024-08-22 13:48:31,2024-08-22 13:55:34,1:1_1_2147483284,7.05,1.5666666666666669,-5.483333333333333,13,13
Thursday,NT1-In-2001-NT260007454-2024-08-22T13:54:00-2024-08-22,13:55:00,1113.0,260007423,260007343,2024-08-22 13:54:00,2024-08-22 13:55:00,2024-08-22 13:55:34,2024-08-22 13:57:12,1:1_2_2147483283,1.6333333333333333,2.2,1.5666666666666669,13,13
Friday,NT1-In-2001-NT260007454-2024-08-23T07:17:00-2024-08-23,07:27:00,1033.0,260007454,260007423,2024-08-23 07:17:00,2024-08-23 07:17:00,2024-08-23 07:21:30,2024-08-23 07:21:30,1:1_1_2147483284,0.0,4.5,4.5,7,7
Friday,NT1-In-2001-NT260007454-2024-08-23T07:17:00-2024-08-23,07:27:00,1033.0,260007423,260007343,2024-08-23 07:17:00,2024-08-23 07:18:00,2024-08-23 07:21:30,2024-08-23 07:21:30,1:1_2_2147483283,0.0,3.5,4.5,7,7
Friday,NT1-In-2001-NT260007454-2024-08-23T07:17:00-2024-08-23,07:27:00,1033.0,260007343,260007462,2024-08-23 07:18:00,2024-08-23 07:20:00,2024-08-23 07:21:30,2024-08-23 07:21:30,1:1_3_2147483509,0.0,1.5,3.5,7,7
