LineRef,BlockRef,Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,FromStopLocation,ToStopID,ToStopLocation,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,ActualDepartureDateTime,ActualArrivalDateTime,DepartureDate,ArrivalDate,TravelTime,TravelTimeInSeconds,ArrivalDifference,DepartureDifference,HourOfDay,DayOfWeek,ArrivalHour
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007343,"(-1.1997359, 52.7754058)",260007462,"(-1.1981939, 52.7799255)",2024-08-21 16:21:00,2024-08-21 16:22:00,2024-08-21 16:21:50,2024-08-21 16:24:32,1:7_4_2147483509,2024-08-21 16:21:50+01:00,2024-08-21 16:24:32+01:00,2024-08-21,2024-08-21,2.7,162.0,2.533333333333333,0.8333333333333334,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007462,"(-1.1981939, 52.7799255)",260007307,"(-1.199306, 52.7806892)",2024-08-21 16:22:00,2024-08-21 16:22:00,2024-08-21 16:24:32,2024-08-21 16:24:45,1:7_5_2147483505,2024-08-21 16:24:32+01:00,2024-08-21 16:24:45+01:00,2024-08-21,2024-08-21,0.2166666666666666,13.0,2.75,2.533333333333333,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007307,"(-1.199306, 52.7806892)",260007487,"(-1.2008953, 52.7811516)",2024-08-21 16:22:00,2024-08-21 16:23:00,2024-08-21 16:24:45,2024-08-21 16:24:45,1:7_6_3425,2024-08-21 16:24:45+01:00,2024-08-21 16:24:45+01:00,2024-08-21,2024-08-21,0.0,0.0,1.75,2.75,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,260007487,"(-1.2008953, 52.7811516)",3300RU0699,"(-1.1951243, 52.7936877)",2024-08-21 16:23:00,2024-08-21 16:27:00,2024-08-21 16:24:45,2024-08-21 16:29:11,1:7_7_6850,2024-08-21 16:24:45+01:00,2024-08-21 16:29:11+01:00,2024-08-21,2024-08-21,4.433333333333334,266.0,2.183333333333333,1.75,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0699,"(-1.1951243, 52.7936877)",3300RU0700,"(-1.1961826, 52.79865)",2024-08-21 16:27:00,2024-08-21 16:28:00,2024-08-21 16:29:11,2024-08-21 16:29:11,1:7_8_6814,2024-08-21 16:29:11+01:00,2024-08-21 16:29:11+01:00,2024-08-21,2024-08-21,0.0,0.0,1.1833333333333331,2.183333333333333,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0700,"(-1.1961826, 52.79865)",3300RU0400,"(-1.1867327, 52.8090066)",2024-08-21 16:28:00,2024-08-21 16:29:00,2024-08-21 16:29:11,2024-08-21 16:30:42,1:7_9_10222,2024-08-21 16:29:11+01:00,2024-08-21 16:30:42+01:00,2024-08-21,2024-08-21,1.5166666666666666,91.0,1.7,1.1833333333333331,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0400,"(-1.1867327, 52.8090066)",3300RU0398,"(-1.1799669, 52.8144563)",2024-08-21 16:29:00,2024-08-21 16:31:00,2024-08-21 16:30:42,2024-08-21 16:33:42,1:7_10_2147483276,2024-08-21 16:30:42+01:00,2024-08-21 16:33:42+01:00,2024-08-21,2024-08-21,3.0,180.0,2.7,1.7,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0398,"(-1.1799669, 52.8144563)",3300RU0919,"(-1.1789339, 52.8201491)",2024-08-21 16:31:00,2024-08-21 16:31:00,2024-08-21 16:33:42,2024-08-21 16:35:31,1:7_11_18116,2024-08-21 16:33:42+01:00,2024-08-21 16:35:31+01:00,2024-08-21,2024-08-21,1.8166666666666669,109.0,4.516666666666667,2.7,16,Wednesday,16
NT1,2001.0,Wednesday,NT1-In-2001-NT260007226-2024-08-21T16:13:00-2024-08-21,16:33:00,1153.0,3300RU0919,"(-1.1789339, 52.8201491)",3300RU0937,"(-1.1821686, 52.8214369)",2024-08-21 16:31:00,2024-08-21 16:31:00,2024-08-21 16:35:31,2024-08-21 16:35:51,1:7_12_4249,2024-08-21 16:35:31+01:00,2024-08-21 16:35:51+01:00,2024-08-21,2024-08-21,0.3333333333333333,20.0,4.85,4.516666666666667,16,Wednesday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007226,"(np.float64(-1.1996489), np.float64(52.7656494))",260007454,"(-1.2052472, 52.7720907)",2024-08-22 16:13:00,2024-08-22 16:20:00,2024-08-22 16:10:27,2024-08-22 16:10:27,1:7_1_2147483028,2024-08-22 16:10:27+01:00,2024-08-22 16:10:27+01:00,2024-08-22,2024-08-22,0.0,0.0,-9.55,-2.55,16,Thursday,16
