id,JourneyCode,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour,DepartureHour,IsWeekend,AvgTravelTimeByJourney
157,1097.0,0.0,-7.766666666666667,-7.766666666666667,12,12,12,0,4.258333333333334
158,1097.0,8.516666666666667,-0.25,-7.766666666666667,12,12,12,0,4.258333333333334
159,1133.0,0.0,-3.616666666666666,-3.616666666666666,14,14,14,0,2.5
160,1133.0,5.0,0.3833333333333333,-3.616666666666666,14,14,14,0,2.5
161,1161.0,1.65,6.783333333333333,5.133333333333334,17,17,17,0,1.0166666666666666
162,1161.0,1.95,7.733333333333333,6.783333333333333,17,17,17,0,1.0166666666666666
163,1161.0,1.0666666666666669,7.8,7.733333333333333,17,17,17,0,1.0166666666666666
164,1161.0,0.0,7.8,7.8,17,17,17,0,1.0166666666666666
165,1161.0,0.4166666666666667,7.216666666666667,7.8,17,17,17,0,1.0166666666666666
166,1097.0,11.666666666666666,5.183333333333334,-6.483333333333333,12,12,12,0,6.183333333333333
167,1097.0,0.7,4.883333333333334,5.183333333333334,12,12,12,0,6.183333333333333
168,1133.0,7.55,0.35,-7.2,14,14,14,0,4.216666666666667
169,1133.0,0.8833333333333333,0.2333333333333333,0.35,14,14,14,0,4.216666666666667
170,1161.0,0.0,-1.8333333333333333,-1.8333333333333333,17,17,17,0,0.9433333333333334
171,1161.0,3.716666666666667,0.8833333333333333,-1.8333333333333333,17,17,17,0,0.9433333333333334
172,1161.0,1.0,0.8833333333333333,0.8833333333333333,17,17,17,0,0.9433333333333334
173,1161.0,0.0,0.8833333333333333,0.8833333333333333,17,17,17,0,0.9433333333333334
174,1161.0,0.0,-0.1166666666666666,0.8833333333333333,17,17,17,0,0.9433333333333334
175,1041.0,3.3666666666666667,-0.1166666666666666,-3.4833333333333334,7,7,7,0,1.4916666666666667
176,1041.0,1.6333333333333333,0.5166666666666667,-0.1166666666666666,7,7,7,0,1.4916666666666667
177,1041.0,1.35,-0.1333333333333333,0.5166666666666667,7,7,7,0,1.4916666666666667
178,1041.0,0.0,-0.1333333333333333,-0.1333333333333333,7,7,7,0,1.4916666666666667
179,1041.0,0.0,-1.1333333333333333,-0.1333333333333333,7,7,7,0,1.4916666666666667
180,1041.0,2.95,-2.183333333333333,-1.1333333333333333,7,7,7,0,1.4916666666666667
181,1041.0,1.6333333333333333,-1.55,-2.183333333333333,7,7,7,0,1.4916666666666667
182,1041.0,1.0,-1.55,-1.55,7,7,7,0,1.4916666666666667
183,1069.0,4.683333333333334,0.6833333333333333,-4.0,10,10,10,0,3.341666666666667
184,1069.0,2.0,1.6833333333333331,0.6833333333333333,10,10,10,0,3.341666666666667
